Unique Identifier,College,Major 1,Major 2 (if any),Minor (if any),Start Semester,Graduation Semester,Gender,Year in school (Based on tentative graduation),Decision
A1,Grainger College of Engineering,Engineering: Undeclared,,,Fall 2019,Spring 2023,Male,Freshman,Y
A2,Gies College of Business,Technology Management,,,Fall 2019,July 2020,Male,Graduate Student,N
A3,Grainger College of Engineering,Computer Science,,,Fall 2019,Spring 2023,Female,Freshman,Y
A4,College of Fine and Applied Arts,Urban and Regional Planning ,,,Fall 2017,Spring 2021,Male,Junior,N
A5,College of Liberal Arts & Sciences,Econometrics,,Computer Science,Fall 2018,Spring 2022,Male,Sophomore,N
A6,Gies College of Business,Technology Management ,,Business Data Analytics,Summer 2019,Spring 2020,Male,Graduate Student,N
A7,Grainger College of Engineering,Mechanical Engineering,,,Fall 2019,Spring 2023,Male,Freshman,Y
A8,"College of Agricultural, Consumer and Environmental Sciences",Agricultural and Consumer Economics,,,Fall 2015,Spring 2020,Male,Senior,N
A9,College of Liberal Arts & Sciences,Economics,,Informatics,Spring 2019,Spring 2021,Female,Junior,N
A10,Grainger College of Engineering,Computer Engineering,,,Fall 2019,Spring 2023,Male,Freshman,Y
A11,Grainger College of Engineering,Computer Science,,,Fall 2018,Spring 2022,Male,Sophomore,Y
A12,Gies College of Business,Buisness: Unassigned,,,Fall 2019,Spring 2023,Male,Freshman,N
A13,Grainger College of Engineering,Computer Science,,Business,Fall 2018,Spring 2022,Male,Sophomore,Y
A14,Grainger College of Engineering,Industrial Engineering,,,Fall 2019,Spring 2021,Male,Graduate Student,N
A15,Grainger College of Engineering,Computer Engineering,,,Fall 2019,Spring 2023,Male,Freshman,N
A16,Grainger College of Engineering,Computer Engineering,,,2019,2023,Male,Freshman,N
A17,Grainger College of Engineering,Engineering Mechanics,Statistics,Mathematics,Fall 2019,Spring 2023,Male,Freshman,Y
A18,Grainger College of Engineering,Electrical Engineering,,,Fall 2019,Spring 2023,Male,Freshman,N
A19,Gies College of Business,Finance,,,Fall 2018,May 2022,Male,Sophomore,Y
A20,Grainger College of Engineering,Engineering Physics,,,Fall 2019,Spring 2023,Male,Freshman,Y
A21,Grainger College of Engineering,Computer Engineering,,,Fall 2019,Spring 2023,Male,Freshman,Y
A22,Gies College of Business,Finance,Accounting,,Fall 2018,Spring 2022,Male,Sophomore,N
A23,Grainger College of Engineering,Computer Engineering,,Business,Fall 2017,Spring 2021,Male,Junior,Y
A24,Gies College of Business,Technology Management,,,Summer 2019,Spring 2020,Female,Graduate Student,N
A25,Grainger College of Engineering,Industrial Engineering,,Computer Engineering,Fall 2017,Spring 2021,Male,Junior,N
A26,College of Liberal Arts & Sciences,Actuarial science ,,,Fall 2019,May 2023,Male ,Freshman,Y
A27,Grainger College of Engineering,Computer Engineering,,,Fall 2019,Spring 2023,Female,Freshman,Y
A28,Grainger College of Engineering,Industrial Engineering,,Economics/Business,Fall 2018,Spring 2022,Male,Sophomore,Y
A29,College of Information Sciences,Information Management,,,Spring' 19,Fall' 20,Male,Graduate Student,N
A30,Grainger College of Engineering,Bioengineering,n/a,Possibly T&M or Business,Fall 2018,Spring 2022,Male,Sophomore,Y
A31,Grainger College of Engineering,Computer Science,,Economics (strongly considering),Fall 2019,Spring 2023,Male,Freshman,Y
A32,Grainger College of Engineering,Computer Science,,,2018,2022,Male,Sophomore,Y
A33,Gies College of Business,Finance,Accountancy ,,Fall 2018,Spring 2022,Male,Sophomore,N
A34,Grainger College of Engineering,Computer Science,,Business or T&M (based on application),Fall 2019,Spring 2022,Male,Sophomore,Y
A35,Gies College of Business,Business Administration - Management ,,,Fall 2019,Spring 2020 ,Female ,Graduate Student,Y
A36,Gies College of Business,Accounting,,,Fall 2017,Spring 2021,Male,Junior,N
A37,Gies College of Business,FInance ,Accounting,,Fall 2019 ,Spring 2023 ,Male,Freshman,Y
A38,Gies College of Business,Finance,,,August 2018,May 2022,Male,Sophomore,Y
A39,Grainger College of Engineering,Industrial Engineering,,,Fall 2017,Fall 2020,Male,Junior,N
A40,"College of Agricultural, Consumer and Environmental Sciences",Food Science and Human Nutrition,,,Fall 2018,Fall 2020,Male,Senior,N
A41,Gies College of Business,Information systems,Supply chain management(applying),,fall 2018,spring 2022,male,Sophomore,Y
A42,Gies College of Business,Undeclared Business,,,Fall 2018,Spring 2022,Male,Sophomore,Y
A43,Gies College of Business,information systems,,Supply Chain Management,August 2018,May 2022,Male,Sophomore,N
A44,College of Liberal Arts & Sciences,Economics,Political Science,,Fall 2019,May 2020,Male,Senior,N
A45,College of Liberal Arts & Sciences,Psychology,,"Business, Informatics ",2016 Fall,2020 Fall,Male,Senior,N
A46,Gies College of Business,Accounting,,,2019 summer,2020 spring,Female,Graduate Student,N
A47,Gies College of Business,accountancy ,,,2019,2020,female,Graduate Student,N
A48,Division of General Study,Transferring to Consumer Economics,,,August 2018,May 2022,Male,Sophomore,Y
A49,Gies College of Business,Operations Management,,,Fall 2016,Fall 2020,Male,Senior,N
A50,Grainger College of Engineering,Computer Engineering,,,Fall 2018,Spring 2022,Male,Sophomore,Y
A51,Grainger College of Engineering,Mechanical Engineering,,,Fall 2019,Spring 2023,Male,Freshman,N
A52,Grainger College of Engineering,Computer Science,,,Fall 2018,Spring 2022,Male,Sophomore,Y
A53,Grainger College of Engineering,Electrical and Computer Engineering,,,Fall 2016 (Spain),Spring 2020,Male,Senior,N
A54,Gies College of Business,Business undeclared (intended: finance),,,Fall 2019,Spring 2023,Female,Freshman,Y
A55,Gies College of Business,Accountancy,,,May 2019,May 2021,Female ,Junior,N
A56,College of Liberal Arts & Sciences,Cell Biology,Will try to add Economics,,Fall 2019,Spring 2023,Female,Freshman,Y
A57,College of Liberal Arts & Sciences,Chemical & Biomolecular Engineering,,,Fall 16,Spring 20,Male,Senior,N
A58,Gies College of Business,Accounting ,Supply Chain Management (currently applying into program),Spanish (focus in linguistics),Fall 2018,Spring 2022,Male,Sophomore,Y
A59,Grainger College of Engineering,Systems Engineering & Design,,,Fall 2018,Spring 2022,Male,Sophomore,Y
A60,College of Liberal Arts & Sciences,Statistics,Thinking of economics,,Fall 2019,Spring 2022,Male,Junior,N
A61,Gies College of Business,Technology Management,,,Summer 2019,Spring 2020,Male,Graduate Student,N
A62,Grainger College of Engineering,Industrial Engineering,,,Fall 2018,Spring 2022,Male,Sophomore,Y
A63,Grainger College of Engineering,Civil Engineering,,,Fall 2019,May 2020,Male,Graduate Student,N
A64,"College of Agricultural, Consumer and Environmental Sciences",Agricultural and Consumer Economics,,,Fall 2019,Spring 2023,Male,Freshman,N
A65,"College of Agricultural, Consumer and Environmental Sciences",ACE,,Computer Science,Fall 2018,Spring 2022,Male,Sophomore,N
A66,College of Liberal Arts & Sciences,Actuarial Science,,Computer Science,Fall 2019,Spring 2023,Male,Freshman,Y
A67,College of Liberal Arts & Sciences,Statistics and Computer Science,,Business,Fall 2018,Spring 2022,Male,Sophomore,N
A68,Gies College of Business,Accounting,,,August 2019,May 2023,Male,Freshman,N
A69,"College of Agricultural, Consumer and Environmental Sciences",Agri accounting,,,August 2017,May 2021,Male,Junior,N
A70,Grainger College of Engineering,Computer Science,,Art + Design,Fall 2016,May 2020,Female,Senior,N
A71,Gies College of Business,Marketing,,,Fall 2018,2022,Female,Sophomore,Y
A72,Gies College of Business,Accounting,,,Summer 2019,Spring 2020,Male,Graduate Student,N
A73,Gies College of Business,Technology Management,,,Summer 2019,Spring 2020,Male,Graduate Student,N
A74,"College of Agricultural, Consumer and Environmental Sciences",Agricultural and Consumer Economics,,Computer Science,Fall 2018,Spring 2022,Male,Sophomore,N
A75,Grainger College of Engineering,Industrial Engineering,,Business,August 2018,May 2022,Male,Sophomore,Y
